name,address,region,village,takeup_survey,age,agpop,educ,rice_inc,ricearea_2010,disaster_loss,insurance_repay,insurance_buy,disaster_prob,general_trust,male,default,delay,intensive,info_takeup_rate,info_takeup_list,info_none,understanding,day,risk_averse,literacy,educ_good,reveal,disaster_yes
1116167,dukou31,1,dukou,1,66,8,0,90,7,NA,0,1,20,0,1,1,1,0,0,1,0,0.400000006,9,0,0,0,NA,0
1116169,dukou31,1,dukou,1,61,2,0,90,5.1,30,1,0,20,1,1,1,0,0,0,0,1,0.200000003,5,1,0,0,0,1
1116126,dukou31,1,dukou,1,65,5,0,95,7,10,0,0,50,0,1,1,1,0,1,0,0,0.200000003,9,0,0,0,NA,1
1116128,dukou31,1,dukou,1,61,10,0,NA,12,20,1,0,30,1,1,1,0,1,0,0,1,0.800000012,5,0,0,0,0,1
1116108,dukou31,1,dukou,0,60,6,0,90,12,NA,1,1,20,1,1,1,1,0,0,0,1,0.400000006,9,0,0,0,NA,0
1116104,dukou31,1,dukou,1,68,4,2,20,15,NA,1,0,50,1,1,1,0,1,0,0,1,0.800000012,5,1,1,1,0,0
1116170,dukou31,1,dukou,1,62,3,0,50,10,30,0,0,50,1,1,1,0,0,0,0,1,0.200000003,5,0,0,0,0,1
1116162,dukou31,1,dukou,1,37,4,1,70,15,NA,0,0,50,1,1,1,1,1,0,1,0,1,9,0,1,0,NA,NA
1116107,dukou31,1,dukou,0,52,4,1,70,3.8,NA,0,1,40,1,1,1,1,1,1,0,0,0.600000024,9,0,1,0,NA,0
1116127,dukou31,1,dukou,1,35,4,1,100,30,NA,1,1,20,0,1,1,0,0,0,0,1,0,5,1,1,0,0,0
1116140,dukou31,1,dukou,1,34,4,1,70,20,80,1,1,50,1,1,1,0,1,0,0,1,0.800000012,5,1,1,0,0,1
1116120,dukou31,1,dukou,1,41,5,2,30,15,85,0,0,50,1,1,1,1,1,0,0,1,1,9,0,1,1,NA,1
1116158,dukou31,1,dukou,1,44,5,2,100,40,10,0,0,50,1,1,1,0,1,0,0,1,0.800000012,5,1,1,1,0,1
1116114,dukou31,1,dukou,0,46,10,2,90,595,40,0,1,50,1,1,1,0,1,0,0,1,1,5,0,1,1,0,1
1116149,dukou31,1,dukou,1,44,5,1,100,30,70,0,0,30,1,1,1,0,0,0,0,1,0.200000003,5,0,1,0,0,1
1116142,dukou31,1,dukou,1,41,4,1,40,5.5,80,1,1,50,1,1,1,0,1,0,0,1,0.800000012,5,1,1,0,0,1
1116154,dukou31,1,dukou,1,48,6,2,35,5,NA,0,1,85,0,1,1,1,1,0,1,0,0.600000024,9,0,1,1,NA,0
1116130,dukou31,1,dukou,1,40,5,2,60,16,NA,0,1,20,0,1,1,1,1,0,1,0,0.400000006,9,0,1,1,NA,1
1116152,dukou31,1,dukou,1,57,5,3,100,48,50,1,0,40,1,1,1,0,0,0,0,1,0,5,0,1,1,0,1
1116159,dukou31,1,dukou,0,60,3,1,40,3,30,1,0,20,1,0,1,1,1,0,0,1,0.200000003,9,0,1,0,NA,1
1116134,dukou31,1,dukou,0,57,5,1,70,9.8,40,1,0,40,0,1,1,1,1,0,0,1,0.400000006,9,0,1,0,NA,1
1116136,dukou31,1,dukou,1,68,10,1,15,13.5,40,0,0,50,1,1,1,1,0,0,0,1,0.400000006,9,0,1,0,NA,1
1116111,dukou31,1,dukou,0,59,5,1,70,5,NA,0,1,20,1,1,1,1,0,0,0,1,0.200000003,9,0,1,0,NA,0
1116151,dukou31,1,dukou,0,46,5,1,20,6,50,0,0,50,1,1,1,1,1,0,0,1,0.800000012,9,0,1,0,NA,1
1116148,dukou31,1,dukou,1,48,6,0,50,20,NA,0,1,20,1,1,1,1,1,0,0,1,0.200000003,9,0,0,0,NA,1
1116144,dukou31,1,dukou,1,39,4,1,80,4,NA,0,1,40,0,1,1,1,0,0,1,0,0.400000006,9,0,1,0,NA,0
1116145,dukou31,1,dukou,1,69,4,1,20,1.5,NA,0,0,50,1,1,1,0,1,0,0,1,0.800000012,5,0,1,0,0,0
1116172,dukou31,1,dukou,0,43,4,0,50,10,20,0,1,15,1,1,1,1,1,0,0,1,0.400000006,9,0,0,0,NA,1
1116116,dukou31,1,dukou,1,42,4,1,100,19,NA,1,1,10,1,1,1,0,1,0,0,1,0.400000006,5,1,1,0,0,0
1116153,dukou31,1,dukou,1,55,4,2,20,1,50,0,0,50,0,1,1,0,1,0,0,1,0.800000012,5,1,1,1,0,1
1116125,dukou31,1,dukou,0,31,5,2,60,5.3,20,1,0,80,0,1,1,0,0,0,0,1,0,5,0,1,1,0,1
1116150,dukou31,1,dukou,1,64,3,0,100,9,NA,1,1,20,1,1,1,0,1,0,0,1,0,5,1,0,0,0,0
1116137,dukou31,1,dukou,1,40,4,2,15,4,40,1,0,20,1,1,1,1,1,1,0,0,0.400000006,9,0,1,1,NA,1
1116133,dukou31,1,dukou,1,60,6,0,100,30,15,0,0,50,0,1,1,0,0,0,0,1,0,5,0,0,0,1,1
1116168,dukou31,1,dukou,1,63,6,0,50,10,20,0,0,20,1,1,1,1,1,0,0,1,0.400000006,9,0,0,0,NA,1
1116228,dukou32,1,dukou,1,67,9,1,20,0.9,NA,1,0,20,1,1,1,1,0,0,0,1,0,9,0,1,0,NA,0
1116203,dukou32,1,dukou,0,67,9,1,30,5.5,NA,1,1,20,1,1,1,0,0,0,0,1,0,5,1,1,0,0,0
1116257,dukou32,1,dukou,0,47,6,3,100,16,50,1,0,20,0,1,1,1,1,1,0,0,0.600000024,9,0,1,1,NA,1
1116207,dukou32,1,dukou,0,44,4,1,60,5,NA,0,0,50,1,1,1,0,1,0,0,1,0.800000012,5,0,1,0,0,0
1116237,dukou32,1,dukou,0,40,4,1,100,28,NA,0,0,30,1,1,1,1,0,1,0,0,0.600000024,9,0,1,0,NA,1
1116177,dukou32,1,dukou,0,68,7,0,30,7.3,NA,0,0,50,1,1,1,0,1,0,0,1,0.800000012,5,0,0,0,0,0
1116182,dukou32,1,dukou,1,54,8,2,40,8,5,0,0,50,1,1,1,1,1,1,0,0,1,9,1,1,1,NA,1
1116243,dukou32,1,dukou,0,52,6,1,40,21.8,10,1,1,40,1,1,1,1,1,0,1,0,0.600000024,9,0,1,0,NA,1
1116201,dukou32,1,dukou,1,68,7,0,100,73,NA,0,0,0,1,1,1,1,1,0,0,1,0.200000003,9,0,0,0,NA,1
1116226,dukou32,1,dukou,0,66,2,0,20,9,NA,0,0,50,1,1,1,0,0,0,0,1,0,5,0,0,0,0,1
1116262,dukou32,1,dukou,0,51,5,1,100,10,NA,0,0,50,0,1,1,0,0,0,0,1,0,5,0,NA,0,0,0
